team,abbreviations,Player,games,points,rebounds,assists,salaryProportion
Indiana Pacers,IND,Domantas Sabonis,62,20,12,6,509.23131789750903
Indiana Pacers,IND,Myles Turner,47,12,6,1,493.80006584000876
Indiana Pacers,IND,Caris LeVert,47,20,4,5,480.083397344453
Indiana Pacers,IND,T.J. Warren,4,15,3,1,348.1290464172062
Indiana Pacers,IND,Jeremy Lamb,36,10,3,1,288.0500384066718
Indiana Pacers,IND,T.J. McConnell,69,8,3,6,205.75002743333698
Indiana Pacers,IND,Justin Holiday,72,10,3,1,164.77614397015253
Indiana Pacers,IND,Torrey Craig,50,5,3,1,133.82116207615493
Indiana Pacers,IND,Goga Bitadze,45,5,3,0,84.99945133326018
Charlotte Hornets,CHO,Gordon Hayward,44,19,5,4,892.1378487244517
Charlotte Hornets,CHO,Terry Rozier,69,20,4,4,534.2462479486798
Charlotte Hornets,CHO,Kelly Oubre Jr.,55,15,6,1,358.0486349395793
Charlotte Hornets,CHO,Nicolas Batum,67,8,4,2,364.41912576458304
Charlotte Hornets,CHO,LaMelo Ball,51,15,5,6,245.6142025958526
Charlotte Hornets,CHO,Mason Plumlee,56,10,9,3,242.8017305684022
Charlotte Hornets,CHO,Miles Bridges,66,12,6,2,161.7631806653737
Charlotte Hornets,CHO,Ish Smith,44,6,3,3,134.26823810234222
Charlotte Hornets,CHO,P.J. Washington,64,12,6,2,125.76816350887663
San Antonio Spurs,SAS,Dejounte Murray,67,15,7,5,595.8357534563992
San Antonio Spurs,SAS,Derrick White,36,15,3,3,586.1810071831312
San Antonio Spurs,SAS,Thaddeus Young,68,12,6,4,548.0033984706882
San Antonio Spurs,SAS,Doug McDermott,66,13,3,1,531.0110450297366
San Antonio Spurs,SAS,Al-Farouq Aminu,23,4,4,1,393.2880203908241
San Antonio Spurs,SAS,Jakob Poeltl,69,8,7,1,337.9161195643778
San Antonio Spurs,SAS,Zach Collins,0,0,0,0,269.71989650111993
San Antonio Spurs,SAS,Bryn Forbes,70,10,1,0,173.7854329188229
San Antonio Spurs,SAS,Lonnie Walker,60,11,2,1,171.77322931953347
San Antonio Spurs,SAS,Devin Vassell,62,5,2,0,163.55758090677378
San Antonio Spurs,SAS,Chandler Hutchison,25,4,3,0,NA
Chicago Bulls,CHI,DeMar DeRozan,61,21,4,6,1887.661909758657
Chicago Bulls,CHI,Nikola Vu,70,23,11,3,1678.9087093389296
Chicago Bulls,CHI,Lonzo Ball,55,14,4,5,1382.8221056313396
Chicago Bulls,CHI,Zach LaVine,58,27,5,4,1364.1133263378804
Chicago Bulls,CHI,Derrick Jones Jr.,58,6,3,0,680.7769849597762
Chicago Bulls,CHI,Alex Caruso,58,6,2,2,601.9343126967472
Chicago Bulls,CHI,Patrick Williams,71,9,4,1,519.202518363064
Chicago Bulls,CHI,Coby White,69,15,4,4,408.37775445960125
Chicago Bulls,CHI,Troy Brown Jr.,34,4,3,0,361.7043721580972
Chicago Bulls,CHI,Ryan Arcidiacono,44,3,1,1,335.0301504022385
New Orleans Pelicans,NOP,Brandon Ingram,61,23,4,4,995.7692697597405
New Orleans Pelicans,NOP,Jonas Valan,62,17,12,1,473.0848511472308
New Orleans Pelicans,NOP,Josh Hart,47,9,8,2,405.5013009833406
New Orleans Pelicans,NOP,Devonte' Graham,55,14,2,5,371.7095259013956
New Orleans Pelicans,NOP,Zion Williamson,61,27,7,3,362.70063866454905
New Orleans Pelicans,NOP,TomSatoransk,58,7,2,4,337.91775081945053
New Orleans Pelicans,NOP,Jaxson Hayes,60,7,4,0,180.72787483526508
New Orleans Pelicans,NOP,Garrett Temple,56,7,2,2,165.9176156523502
New Orleans Pelicans,NOP,Kira Lewis Jr.,54,6,1,2,129.16027438921367
New Orleans Pelicans,NOP,Nickeil Alexander-Walker,46,11,3,2,110.21119859426216
Sacramento Kings,SAC,De'Aaron Fox,58,25,3,7,1425.5630516384294
Sacramento Kings,SAC,Buddy Hield,71,16,4,3,1140.1680531601908
Sacramento Kings,SAC,Harrison Barnes,58,16,6,3,1028.918078522877
Sacramento Kings,SAC,Marvin Bagley III,43,14,7,1,573.8112001623211
Sacramento Kings,SAC,Richaun Holmes,61,14,8,1,526.7576341686112
Sacramento Kings,SAC,Tristan Thompson,54,7,8,1,493.09627675763414
Sacramento Kings,SAC,Maurice Harkless,37,5,2,1,220.53363092218729
Sacramento Kings,SAC,Tyrese Haliburton,58,13,3,5,204.09861012478441
Sacramento Kings,SAC,Terence Davis,61,8,2,1,202.90149132596125
Sacramento Kings,SAC,Alex Len,64,6,4,0,189.29222887288222
Minnesota Timberwolves,MIN,Karl-Anthony Towns,50,24,10,4,1211.4824467269661
Minnesota Timberwolves,MIN,D'Angelo Russell,42,19,2,5,1150.2951096121417
Minnesota Timberwolves,MIN,Ricky Rubio,68,8,3,6,682.5664571516173
Minnesota Timberwolves,MIN,Malik Beasley,37,19,4,2,551.5853135060555
Minnesota Timberwolves,MIN,Patrick Beverley,37,7,3,2,548.8650927487353
Minnesota Timberwolves,MIN,Anthony Edwards,72,19,4,2,392.6674842863713
Minnesota Timberwolves,MIN,Jarred Vanderbilt,64,5,5,1,163.24003525984978
Minnesota Timberwolves,MIN,Josh Okogie,59,5,2,1,156.67269661198836
Minnesota Timberwolves,MIN,Jake Layman,45,5,1,0,151.0111911697072
Cleveland Cavaliers,CLE,Kevin Love,25,12,7,2,1010.2966334204835
Cleveland Cavaliers,CLE,Jarrett Allen,63,12,10,1,645.5569542622898
Cleveland Cavaliers,CLE,Lauri Markkanen,51,13,5,0,506.46877118233755
Cleveland Cavaliers,CLE,Taurean Prince,41,9,3,1,486.0298892869823
Cleveland Cavaliers,CLE,Cedi Osman,59,10,3,2,259.83667409057165
Cleveland Cavaliers,CLE,Darius Garland,54,17,2,6,227.26445240631355
Cleveland Cavaliers,CLE,Isaac Okoro,67,9,3,1,216.9303766824828
Cleveland Cavaliers,CLE,Collin Sexton,60,24,3,4,204.9537135663794
Oklahoma City Thunder,OKC,Kemba Walker,43,19,4,4,274.69616389212325
Oklahoma City Thunder,OKC,Derrick Favors,68,5,5,0,305.9099348585455
Oklahoma City Thunder,OKC,Shai Gilgeous-Alexander,35,23,4,5,172.9405544890959
Oklahoma City Thunder,OKC,Gabriel Deck,10,8,4,2,115.49233722503698
Oklahoma City Thunder,OKC,Mike Muscala,35,9,3,0,110.14255593668376
Oklahoma City Thunder,OKC,Aleksej Pokusevski,45,8,4,2,97.96897126852755
Orlando Magic,ORL,Gary Harris,39,9,2,2,664.0129352266096
Orlando Magic,ORL,Jonathan Isaac,0,0,0,0,564.0925889904688
Orlando Magic,ORL,Markelle Fultz,8,12,3,5,534.9153861116514
Orlando Magic,ORL,Terrence Ross,46,15,3,2,405.2389288724632
Orlando Magic,ORL,Mo Bamba,46,8,5,0,245.371912079362
Orlando Magic,ORL,Wendell Carter Jr.,54,11,8,1,224.341146339882
Orlando Magic,ORL,Timofey Mozgov,0,0,0,0,180.68255203267847
Orlando Magic,ORL,Robin Lopez,71,9,3,0,162.09557154898528
Orlando Magic,ORL,Cole Anthony,47,12,4,4,111.82649290021396
Orlando Magic,ORL,Chuma Okeke,45,7,4,2,106.24003112234973
