"","Rk","Player","Tm","2021-22","2022-23","2023-24","2024-25","2025-26","2026-27","Signed Using","Guaranteed\"
"128","129","Danny Green\\greenda02","PHI",1e+07,1e+07,NA,NA,NA,NA,"Early Bird","$10000000\"
"129","130","TomSatoransk\\satorto01","NOP",1e+07,NA,NA,NA,NA,NA,"Sign and Trade","$5000000\"
"130","131","Kyle Anderson\\anderky01","MEM",9937150,NA,NA,NA,NA,NA,"MLE","$9937150\"
"131","132","Serge Ibaka\\ibakase01","LAC",9742000,NA,NA,NA,NA,NA,"MLE","$9742000\"
"132","133","Derrick Jones Jr.\\jonesde02","CHI",9731707,NA,NA,NA,NA,NA,"MLE","$9731707\"
"133","134","Jae Crowder\\crowdja01","PHO",9720900,10183800,NA,NA,NA,NA,"MLE","$19904700\"
"134","135","Montrezl Harrell\\harremo01","WAS",9720900,NA,NA,NA,NA,NA,"MLE","$9720900\"
"135","136","Tristan Thompson\\thomptr01","SAC",9720900,NA,NA,NA,NA,NA,"MLE","$9720900\"
"136","137","Derrick Favors\\favorde01","OKC",9720900,10183800,NA,NA,NA,NA,"MLE","$9720900\"
"137","138","Ja Morant\\moranja01","MEM",9603360,12119440,NA,NA,NA,NA,"1st Round Pick","$9603360\"
"138","139","Reggie Bullock\\bullore01","DAL",9536000,10012800,10489600,NA,NA,NA,"MLE","$25000000\"
"139","140","Alec Burks\\burksal01","NYK",9536000,10012800,10489600,NA,NA,NA,"Cap Space","$19548800\"
"140","141","Talen Horton-Tucker\\hortota01","LAL",9500000,10260000,11020000,NA,NA,NA,"Early Bird","$19760000\"
"141","142","Jaren Jackson Jr.\\jacksja02","MEM",9180560,NA,NA,NA,NA,NA,"1st Round Pick","$9180560\"
"142","143","James Wiseman\\wisemja01","GSW",9166800,9603360,12119440,NA,NA,NA,"1st Round Pick","$9166800\"
"143","144","Nicolas Batum\\batumni01","CHO",12213507,12372008,NA,NA,NA,NA,NA,"$18086956\"
"144","147","Nerlens Noel\\noelne01","NYK",8800000,9240000,9680000,NA,NA,NA,"Cap Space","$18040000\"
"145","148","Jakob Poeltl\\poeltja01","SAS",8750000,9398148,NA,NA,NA,NA,"Bird","$18148148\"
"146","149","Maxi Kleber\\klebima01","DAL",8750000,9e+06,NA,NA,NA,NA,"Early Bird Rights","$8750000\"
"147","150","Thomas Bryant\\bryanth01","WAS",8730159,NA,NA,NA,NA,NA,"Early Bird Rights","$8730159\"
"148","151","Kemba Walker\\walkeke02","NYK",8729020,9165471,NA,NA,NA,NA,"Cap Space","$17894491\"
"149","152","Royce O'Neale\\onealro01","UTA",8678571,9321429,9964286,NA,NA,NA,"Cap space","$27964286\"
"150","153","RJ Barrett\\barrerj01","NYK",8623920,10900635,NA,NA,NA,NA,"1st Round Pick","$8623920\"
"151","154","Alex Caruso\\carusal01","CHI",8604651,9034884,9465116,9895349,NA,NA,"MLE","$37000000\"
"152","155","Delon Wright\\wrighde01","ATL",8526316,NA,NA,NA,NA,NA,"Sign and Trade","$8526316\"
"153","156","De'Anthony Melton\\meltode01","MEM",8437500,9062500,9687500,NA,NA,NA,"Early Bird","$27187500\"
"154","157","Daniel Theis\\theisda01","HOU",8372093,8790698,9209302,9627907,NA,NA,"Sign and Trade","$36000000\"
"155","158","Monte Morris\\morrimo01","DEN",8333333,9e+06,9666667,NA,NA,NA,"Bird","$27000000\"
"156","159","Trae Young\\youngtr01","ATL",8326471,29750000,32130000,34510000,36890000,39270000,"1st Round Pick","$180876471\"
"157","160","JaMychal Green\\greenja01","DEN",15852431,8707317,NA,NA,NA,NA,"Non Bird","$24559748\"
"158","161","LaMelo Ball\\ballla01","CHO",8231760,8623920,10900635,NA,NA,NA,"1st Round Pick","$8231760\"
"159","162","Seth Curry\\curryse01","PHI",8186047,8558140,NA,NA,NA,NA,"MLE","$16744187\"
"160","163","Mason Plumlee\\plumlma01","CHO",8137500,8525000,NA,NA,NA,NA,"Cap space","$16662500\"
"161","165","Cedi Osman\\osmande01","CLE",8050000,7350000,6650000,NA,NA,NA,"MLE","$15400000\"
"162","166","DeAndre Jordan\\jordade01","DET",2641691,NA,NA,NA,NA,NA,NA,"$15703440\"
"163","167","De'Andre Hunter\\huntede01","ATL",7775400,9835881,NA,NA,NA,NA,"1st Round Pick","$7775400\"
"164","168","Mo Bamba\\bambamo01","ORL",7568742,NA,NA,NA,NA,NA,"1st Round Pick","$7568742\"
"165","169","JaMychal Green\\greenja01","DEN",15852431,8707317,NA,NA,NA,NA,"MLE","$24559748\"
"166","170","Tyus Jones\\jonesty01","MEM",7522200,NA,NA,NA,NA,NA,"MLE","$7522200\"
"167","171","Ivica Zubac\\zubaciv01","LAC",7518518,7518518,NA,NA,NA,NA,"Bird Rights","$7518518\"
"168","172","T.J. McConnell\\mccontj01","IND",7500000,8100000,8700000,9300000,NA,NA,"Early Bird","$29300000\"
"169","173","Patrick Williams\\willipa01","CHI",7422000,7775400,9835881,NA,NA,NA,"1st Round Pick","$15197400\"
"170","174","Scottie Barnes\\barnesc01","TOR",7280520,7644720,8008560,10130828,NA,NA,"1st Round Pick","$14925240\"
"171","175","Darius Garland\\garlada01","CLE",7040880,8920795,NA,NA,NA,NA,"1st Round Pick","$7040880\"
"172","177","Chris Boucher\\bouchch01","TOR",7009615,NA,NA,NA,NA,NA,"Early Bird","$7009615\"
"173","178","D.J. Augustin\\augusdj01","HOU",7e+06,7333333,NA,NA,NA,NA,"MLE","$7333333\"
"174","179","P.J. Tucker\\tuckepj01","MIA",7e+06,7350000,NA,NA,NA,NA,"MLE","$7000000\"
"175","180","Zach Collins\\colliza01","SAS",6984127,7333333,7682540,NA,NA,NA,"Cap Space","$22000000\"
"176","181","Wendell Carter Jr.\\cartewe01","ORL",6920027,NA,NA,NA,NA,NA,NA,"\"
"177","182","Isaac Okoro\\okorois01","CLE",6720720,7040880,8920795,NA,NA,NA,"1st Round Pick","$6720720\"
