team,abbreviations,Player,games,points,rebounds,assists,salaryProportion
Orlando Magic,ORL,Terrence Ross,607,11,2,1,405.2389288724632
Orlando Magic,ORL,Mo Bamba,155,6,5,0,245.371912079362
Orlando Magic,ORL,Wendell Carter Jr.,141,11,8,1,224.341146339882
Orlando Magic,ORL,Timofey Mozgov,454,6,4,0,180.68255203267847
Orlando Magic,ORL,Robin Lopez,903,8,5,0,162.09557154898528
Orlando Magic,ORL,Cole Anthony,47,12,4,4,111.82649290021396
Orlando Magic,ORL,Chuma Okeke,45,7,4,2,106.24003112234973
Orlando Magic,ORL,Michael Carter-Williams,391,10,4,4,97.25734292939117
Orlando Magic,ORL,E'Twaun Moore,598,7,2,1,85.64128250016209
Detroit Pistons,DET,Blake Griffin,668,20,8,4,2170.8076768488745
Detroit Pistons,DET,Jerami Grant,508,10,3,1,1339.7642015005358
Detroit Pistons,DET,Kelly Olynyk,570,10,5,2,816.9293944265809
Detroit Pistons,DET,DeAndre Jordan,932,9,10,1,176.96215166130762
Detroit Pistons,DET,Killian Hayes,26,6,2,5,373.30385852090035
Detroit Pistons,DET,Hamidou Diallo,149,7,3,1,348.33869239013933
Detroit Pistons,DET,Josh Jackson,240,12,4,2,335.2994372990354
Detroit Pistons,DET,Cory Joseph,663,7,2,2,328.91211146838157
Detroit Pistons,DET,Isaiah Stewart,68,7,6,0,219.5257234726688
Detroit Pistons,DET,Frank Jackson,160,7,1,1,200.96463022508038
Detroit Pistons,DET,Dewayne Dedmon,410,6,6,0,352.11066452304397
Detroit Pistons,DET,Saddiq Bey,70,12,4,1,189.19614147909968
Houston Rockets,HOU,John Wall,613,19,4,9,1609.372026295718
Houston Rockets,HOU,Eric Gordon,692,16,2,2,661.7084226201285
Houston Rockets,HOU,Christian Wood,154,12,6,0,496.3740602186467
Houston Rockets,HOU,Daniel Theis,259,7,4,1,304.0748556277921
Houston Rockets,HOU,D.J. Augustin,921,9,1,4,254.2403661061272
Houston Rockets,HOU,Avery Bradley,598,11,2,1,310.84302473395564
Houston Rockets,HOU,David Nwaba,191,7,3,1,168.88824319907022
Houston Rockets,HOU,Danuel House,162,9,3,1,141.43028365960848
Houston Rockets,HOU,Sekou Doumbouya,94,5,2,0,NA
