team,abbreviations,zip,med_sal,Rk,Player,Salary,codes,links,games,points,rebounds,assists
Los Angeles Clippers,LAC,90011,12931,132,Serge Ibaka,9742000,ibakase01,https://www.basketball-reference.com/players/i/ibakase01.html,41,11,6,1
Los Angeles Clippers,LAC,90011,12931,171,Ivica Zubac,7518518,zubaciv01,https://www.basketball-reference.com/players/z/zubaciv01.html,72,9,7,1
Los Angeles Clippers,LAC,90011,12931,261,Justise Winslow,16902439,winslju01,https://www.basketball-reference.com/players/w/winslju01.html,26,6,4,1
Los Angeles Clippers,LAC,90011,12931,286,Nicolas Batum,12213507,batumni01,https://www.basketball-reference.com/players/b/batumni01.html,67,8,4,2
Los Angeles Clippers,LAC,90011,12931,9,Paul George,39344970,georgpa01,https://www.basketball-reference.com/players/g/georgpa01.html,54,23,6,5
Los Angeles Clippers,LAC,90011,12931,10,Kawhi Leonard,39344900,leonaka01,https://www.basketball-reference.com/players/l/leonaka01.html,52,24,6,5
Los Angeles Clippers,LAC,90011,12931,66,Eric Bledsoe,18125000,bledser01,https://www.basketball-reference.com/players/b/bledser01.html,71,12,3,3
Los Angeles Clippers,LAC,90011,12931,83,Marcus Morris,15627907,morrima03,https://www.basketball-reference.com/players/m/morrima03.html,57,13,4,1
Los Angeles Clippers,LAC,90011,12931,106,Luke Kennard,12727273,kennalu01,https://www.basketball-reference.com/players/k/kennalu01.html,63,8,2,1
Los Angeles Clippers,LAC,90011,12931,124,Reggie Jackson,10384500,jacksre01,https://www.basketball-reference.com/players/j/jacksre01.html,67,10,2,3
Los Angeles Clippers,LAC,90011,12931,132,Serge Ibaka,9742000,ibakase01,https://www.basketball-reference.com/players/i/ibakase01.html,41,11,6,1
Los Angeles Clippers,LAC,90011,12931,171,Ivica Zubac,7518518,zubaciv01,https://www.basketball-reference.com/players/z/zubaciv01.html,72,9,7,1
Los Angeles Clippers,LAC,90011,12931,261,Justise Winslow,16902439,winslju01,https://www.basketball-reference.com/players/w/winslju01.html,26,6,4,1
Los Angeles Clippers,LAC,90011,12931,286,Nicolas Batum,12213507,batumni01,https://www.basketball-reference.com/players/b/batumni01.html,67,8,4,2
Dallas Mavericks,DAL,75217,36274,19,Kristaps Porzi,31650600,porzikr01,https://www.basketball-reference.com/players/p/porzikr01.html,43,20,8,1
Dallas Mavericks,DAL,75217,36274,50,Tim Hardaway Jr.,21306816,hardati02,https://www.basketball-reference.com/players/h/hardati02.html,70,16,3,1
Dallas Mavericks,DAL,75217,36274,119,Dwight Powell,11000000,poweldw01,https://www.basketball-reference.com/players/p/poweldw01.html,58,5,4,1
Dallas Mavericks,DAL,75217,36274,127,Luka Don,10174391,doncilu01,https://www.basketball-reference.com/players/d/doncilu01.html,66,27,8,8
Dallas Mavericks,DAL,75217,36274,139,Reggie Bullock,9536000,bullore01,https://www.basketball-reference.com/players/b/bullore01.html,65,10,3,1
Dallas Mavericks,DAL,75217,36274,149,Maxi Kleber,8750000,klebima01,https://www.basketball-reference.com/players/k/klebima01.html,50,7,5,1
Dallas Mavericks,DAL,75217,36274,246,Willie Cauley-Stein,4200000,caulewi01,https://www.basketball-reference.com/players/c/caulewi01.html,53,5,4,0
Dallas Mavericks,DAL,75217,36274,255,Dorian Finney-Smith,4000000,finnedo01,https://www.basketball-reference.com/players/f/finnedo01.html,60,9,5,1
Dallas Mavericks,DAL,75217,36274,280,Trey Burke,3333333,burketr01,https://www.basketball-reference.com/players/b/burketr01.html,62,6,0,1
Dallas Mavericks,DAL,75217,36274,291,Sterling Brown,3000000,brownst02,https://www.basketball-reference.com/players/b/brownst02.html,51,8,4,1
Dallas Mavericks,DAL,75217,36274,295,Josh Green,2957520,greenjo02,https://www.basketball-reference.com/players/g/greenjo02.html,39,2,2,0
Los Angeles Lakers,LAL,90011,12931,3,Russell Westbrook,44211146,westbru01,https://www.basketball-reference.com/players/w/westbru01.html,65,22,11,11
Los Angeles Lakers,LAL,90011,12931,6,LeBron James,41180544,jamesle01,https://www.basketball-reference.com/players/j/jamesle01.html,45,25,7,7
Los Angeles Lakers,LAL,90011,12931,15,Anthony Davis,35361360,davisan02,https://www.basketball-reference.com/players/d/davisan02.html,36,21,7,3
Los Angeles Lakers,LAL,90011,12931,141,Talen Horton-Tucker,9500000,hortota01,https://www.basketball-reference.com/players/h/hortota01.html,65,9,2,2
Los Angeles Lakers,LAL,90011,12931,217,Kendrick Nunn,5000000,nunnke01,https://www.basketball-reference.com/players/n/nunnke01.html,56,14,3,2
Los Angeles Lakers,LAL,90011,12931,219,Luol Deng,4990000,denglu01,https://www.basketball-reference.com/players/d/denglu01.html,0,0,0,0
Los Angeles Lakers,LAL,90011,12931,3,Russell Westbrook,44211146,westbru01,https://www.basketball-reference.com/players/w/westbru01.html,65,22,11,11
Los Angeles Lakers,LAL,90011,12931,6,LeBron James,41180544,jamesle01,https://www.basketball-reference.com/players/j/jamesle01.html,45,25,7,7
Los Angeles Lakers,LAL,90011,12931,15,Anthony Davis,35361360,davisan02,https://www.basketball-reference.com/players/d/davisan02.html,36,21,7,3
Los Angeles Lakers,LAL,90011,12931,141,Talen Horton-Tucker,9500000,hortota01,https://www.basketball-reference.com/players/h/hortota01.html,65,9,2,2
Los Angeles Lakers,LAL,90011,12931,217,Kendrick Nunn,5000000,nunnke01,https://www.basketball-reference.com/players/n/nunnke01.html,56,14,3,2
Los Angeles Lakers,LAL,90011,12931,219,Luol Deng,4990000,denglu01,https://www.basketball-reference.com/players/d/denglu01.html,0,0,0,0
Portland Trail Blazers,POR,97229,57963,5,Damian Lillard,43750000,lillada01,https://www.basketball-reference.com/players/l/lillada01.html,67,28,4,7
Portland Trail Blazers,POR,97229,57963,28,CJ McCollum,30864198,mccolcj01,https://www.basketball-reference.com/players/m/mccolcj01.html,47,23,3,4
Portland Trail Blazers,POR,97229,57963,85,Norman Powell,15517242,powelno01,https://www.basketball-reference.com/players/p/powelno01.html,69,18,3,1
Portland Trail Blazers,POR,97229,57963,105,Robert Covington,12975471,covinro01,https://www.basketball-reference.com/players/c/covinro01.html,70,8,6,1
Portland Trail Blazers,POR,97229,57963,115,Jusuf Nurki,12000000,nurkiju01,https://www.basketball-reference.com/players/n/nurkiju01.html,37,11,9,3
Portland Trail Blazers,POR,97229,57963,121,Larry Nance Jr.,10690909,nancela02,https://www.basketball-reference.com/players/n/nancela02.html,35,9,6,3
Portland Trail Blazers,POR,97229,57963,260,Anfernee Simons,3938818,simonan01,https://www.basketball-reference.com/players/s/simonan01.html,64,7,2,1
Portland Trail Blazers,POR,97229,57963,298,Andrew Nicholson,2844429,nichoan01,https://www.basketball-reference.com/players/n/nichoan01.html,0,0,0,0
Portland Trail Blazers,POR,97229,57963,305,Patrick Patterson,3378757,pattepa01,https://www.basketball-reference.com/players/p/pattepa01.html,38,5,2,0
Golden State Warriors,GSW,94601,39601,1,Stephen Curry,45780966,curryst01,https://www.basketball-reference.com/players/c/curryst01.html,63,32,5,5
